,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
0,Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,,307.966666666667,312.411111111111,314.994444444444,316.827777777778,318.65,320.566666666667,322.466666666667,324.316666666667,326.3,328.16666666666697,330.233333333333,332.494444444444,334.644444444444,336.261111111111,336.961111111111,336.588888888889,335.36666666666696,333.9,333.17777777777803,333.872222222222,336.45,340.783333333333,345.627777777778,349.03333333333296,350.133333333333,348.027777777778,343.544444444444,339.288888888889,339.07222222222197,345.288888888889,359.01666666666705,379.111111111111,402.75,426.138888888889,446.24444444444396,462.28333333333296,474.722222222222,484.888888888889,494.49444444444396,504.811111111111,516.0666666666671,527.733333333333,538.977777777778,548.577777777778,555.711111111111,560.166666666667,562.366666666667,563.122222222222,563.622222222222,564.805555555556,566.944444444444,569.805555555556,573.138888888889,576.533333333333,579.661111111111,582.583333333333,585.338888888889,588.033333333333,590.611111111111,593.1444444444439,
1,Africa Eastern and Southern,AFE,Population density (people per sq. km of land area),EN.POP.DNST,,9.07836719183796,9.312151624973971,9.5549044110962,9.80650537127016,10.0670140536165,10.3365164645687,10.615565927971,10.9051847091179,11.2066694006693,11.5210177719884,11.8487339520514,12.1898486622752,12.5441195147412,12.911169123234599,13.2907302655638,13.6829242710246,14.088073376152,14.505948794359501,14.937130713814001,15.381411189771303,15.838338739207302,16.3080062707238,16.791642302651802,17.2912898092092,17.8076930065681,18.341502254942103,18.8919482332128,19.456283201620103,20.031489694484698,20.6150187138993,21.2068920490625,21.807474093872102,22.570442557698602,23.1914398451287,23.8200252821206,24.456937304756604,25.103324106879302,25.761348601705,26.4344848727744,27.125026446145,27.8342388423738,28.5633806323517,29.3144159143399,29.827322065649298,30.6224124685809,31.444860934085604,32.294933585063,33.1733972869471,34.0805521014316,35.015247001629,35.979974459829,36.974250333520004,37.9952788590134,39.0403845483589,40.1070666643487,41.1951136795646,42.303708873039206,43.4313671607254,44.5765073983074,45.7379159749691,
2,Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,,14.0449805471311,14.3238090861747,14.617529026131198,14.9262812854211,15.2503109395583,15.585025886101198,15.9298103728211,16.2930245381858,16.6862298195632,17.1149312256839,17.5771987868762,18.060873694207,18.5475645620807,19.013203443311,19.436271176056103,19.8252198021015,20.174760285513,20.4350075054376,20.542015133413,20.458444383175603,20.175349998468302,19.7324357442637,19.2043194559324,18.693603529087397,18.286009251600603,17.9765600588181,17.7749257114849,17.7955580063107,18.1798134362651,19.012209355757697,20.3703948779218,22.187824342125396,24.2266351131943,26.1552675918267,27.7404987286708,28.8782342309224,29.649735012100603,30.232775786539197,30.8961293386025,31.829116502772397,33.0959041754741,34.6181018901449,36.272510185951,37.8744125846276,39.295214900591205,40.4880954569127,41.5104953588825,42.4628266397084,43.49294795208771,44.7040881659161,46.131499862145006,47.730567043470295,49.428042765677205,51.11479337070729,52.7120715007812,54.196961063627704,55.5955503477009,56.9370492908127,58.2693946634807,59.62739484728729,
3,Africa Western and Central,AFW,Population density (people per sq. km of land area),EN.POP.DNST,,10.8778368178914,11.109939888886199,11.351398981714599,11.601452703673699,11.859716600085301,12.126329618485698,12.4020292751515,12.687790966309901,12.9848783739269,13.294421096149001,13.616671493536801,13.952068295422098,14.3020847657347,14.6691240943691,15.053820013310098,15.4561763606897,15.876542984684598,16.313801905418902,16.766254872437802,17.2325957518312,17.7125231876079,18.206253523742603,18.7136346451052,19.2345879515089,19.769058389657896,20.317276343223,20.8791908492137,21.454211687659896,22.041524666750696,22.6408187022015,23.251976833396302,23.875925127518002,24.514724656138,25.1710892814108,25.847149388996897,26.5443310582393,27.262850743661698,28.0022629336553,28.7615161987137,29.540243516866397,30.338333897132102,31.157344087519302,32.0005052079533,32.8720240819476,33.7749301884415,34.7107130617813,35.6786983543708,36.6770284044051,37.702722927155,38.7536382711054,39.8291179975635,40.9299161598005,42.0569476595716,43.2116389078664,44.3949168562578,45.60704538469871,46.8472514255266,48.114079825067606,49.405534735534104,50.720167415081995,
4,Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,,4.43687414775006,4.49867570385819,4.5555538621962,4.60014037057833,4.62867811021096,4.63728643619155,4.63177989893318,4.62980107483757,4.65523141092484,4.72476137001684,4.84578406994465,5.01240474853614,5.21158498435871,5.423616748215291,5.634069142536299,5.8391192748857,6.043004732493781,6.249116868532929,6.46355338092564,6.69069543595091,6.9306793935991005,7.1813355257880795,7.442130424320211,7.712164915376589,7.990689821127781,8.27794657896848,8.57403304724473,8.877878398973289,9.18808374107644,9.503798026790731,9.8250589556429,10.1526919066335,10.4877227881607,10.8315978182402,11.185694232774502,11.5510724312184,11.9287494986765,12.3202053421032,12.727096334322601,13.151100505334101,13.592486564530402,14.052633352049401,14.5355554664314,15.0462324536777,15.588035614021,16.1625932461699,16.7685569904548,17.4024512713564,18.059096013475603,18.7344565653325,19.4278174380364,20.139508301917104,20.867719579690398,21.610470040907998,22.3665516964787,23.135062164113304,23.916554904949102,24.7130721103714,25.527632148873,26.362611694874502,
5,Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,,60.5766423357664,62.456897810219004,64.3292335766423,66.2093065693431,68.0580656934307,69.8749270072993,71.73715328467149,73.8055474452555,75.97427007299271,77.93718978102191,79.8486496350365,81.8659124087591,83.8230656934307,85.7709489051095,87.76755474452551,89.72722627737231,91.73525547445259,93.65934306569339,95.54131386861309,97.51813868613141,99.491094890511,101.61598540146,103.79416058394199,106.00105839416099,108.20299270073,110.315145985401,112.540328467153,114.683795620438,117.808138686131,119.946788321168,119.225912408759,118.505072992701,117.784197080292,117.063357664234,116.342481751825,115.621642335766,114.90076642335801,114.179927007299,113.459051094891,112.738211678832,111.68514598540101,111.35072992700701,110.934890510949,110.472226277372,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.31463503649599,106.02901459854,105.85405109489099,105.66029197080299,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.61226277372299,104.167554744526,103.56726277372299,
6,Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,,30.591489361702102,32.7212765957447,34.9085106382979,37.1617021276596,39.4510638297872,41.8,44.1702127659574,46.5659574468085,49.04893617021279,51.64893617021279,54.4063829787234,57.2021276595745,60.068085106383,62.7978723404255,65.3297872340426,67.6212765957447,69.72127659574471,71.7957446808511,74.0957446808511,76.7297872340425,79.7829787234043,83.22340425531921,86.9234042553192,90.863829787234,94.8787234042553,98.97872340425529,103.104255319149,107.304255319149,111.6,115.974468085106,120.56595744680901,125.28085106383001,129.731914893617,133.353191489362,135.872340425532,136.942553191489,136.846808510638,136.468085106383,136.95319148936198,139.127659574468,143.285106382979,149.03829787234,155.702127659574,162.234042553192,167.810638297872,172.329787234043,175.91914893617002,178.42553191489398,179.704255319149,179.689361702128,178.18723404255297,175.37659574468103,171.851063829787,168.53829787234,165.942553191489,164.457446808511,163.823404255319,163.846808510638,164.14042553191499,164.393617021277,
7,Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,,6.9057295072924605,7.095999627681791,7.292820472148299,7.49684765987429,7.708532243442991,7.92886096872702,8.15782836798051,8.3938035948665,8.63445964964298,8.87857168433019,9.124918423209019,9.37526995787808,9.63502028531726,9.91139508662626,10.209447157743599,10.5311482464857,10.8744185620626,11.2352415595435,11.6075873182876,11.986848191859501,12.371647908157,12.762615915920902,13.1595151329987,13.5626213532966,13.971977954391699,14.386639305102902,14.8056023992016,15.228786095102198,15.656313745511598,16.232208019404,16.6753373084923,16.983307413568898,17.4416458896862,17.89409413684,18.4523789978325,18.8820449372802,19.3064323071616,19.7258899501723,20.1500441750295,20.5838435176772,21.027680198324802,21.4820905671733,21.952508292203397,22.444554378260797,22.962372448544603,23.5081035468467,24.079489290156303,24.670370959236198,25.275231260599398,25.877609415773,27.759609742991,28.392574093414602,29.024306518040103,29.6517128144983,30.2730437090691,30.885951723495804,31.4898410513152,32.0944482828858,32.707384288663604,33.3350102861111,
8,United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,,1.4193325823711598,1.578597578147,1.76189805688538,1.9438045620951798,2.1100394255139396,2.25259081948747,2.39042523232892,2.57138834131231,2.85980005632216,3.3020557589411403,3.9068290622359902,4.66020839200225,5.556533370881441,6.582047310616731,7.72029005913827,8.98234300197127,10.354083356800901,11.764263587721802,13.1195719515629,14.3552098000563,15.4407490847649,16.401239087581,17.2973387778091,18.219797240214,19.236341875527998,20.3658969304421,21.592875246409502,22.909997183891896,24.298451140523802,25.7453815826528,27.2762461278513,28.905829343846804,30.5989157983667,32.3060687130386,34.005899746550305,35.752196564348104,37.614207265559,39.611574204449504,41.763292030414,44.1293579273444,46.5041115178823,48.9829484652211,52.265995494227,57.287764010138,64.6046465784286,74.6292875246409,86.8606871303858,99.8237961137708,111.48082230357599,120.38859476203899,125.975471698113,128.718642635877,129.511517882287,129.740664601521,130.426584060828,131.80758941143299,133.584990143622,135.60920867361298,137.574288932695,139.262179667699,
9,Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,,7.60673295111978,7.72942569308179,7.8521557063459895,7.974753077622969,8.09724301985245,8.21942967599546,8.34178222597371,8.465799195378361,8.59345157836657,8.726075660743449,8.864564126737038,9.00839042785262,9.155759329701212,9.30405160979139,9.45148153426219,9.597243750662301,9.74220573028001,9.888237615513631,10.038055461159301,10.1935301404251,10.3550325393084,10.5216703389861,10.6924967753016,10.8660816533842,11.0411789424451,11.2175525909036,11.3949373147854,11.5719862315425,11.7470875400575,11.9190145760024,12.0872301941396,12.251778608464999,12.4128428868451,12.570904632969,12.726384062498902,12.879199324731697,13.029403403381501,13.177762552572599,13.325301002305698,13.472770390508199,13.6207038429636,13.7690944169782,13.917493760710899,14.0651553519032,14.2116659175866,14.356714132766198,14.5008397005141,14.645487431897699,14.792609320018,14.904301546759,15.0771515955406,15.2495426957383,15.421160233713,15.5916453818299,15.760632735165501,15.928135082892098,16.0941907925267,16.2585100979651,16.4208266190179,16.580892611147,
